global_compound_id,source,source_compound_id,source_smiles,source_name,canonical_smiles,standard_inchikey,structure_parse_status
CMP_G001200,S3_P450Rdb,454,C[C@]12CC[C@](C[C@H]1C3=CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)CO,30-Hydroxy-Beta-Amyrin,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(CO)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,OYONPFUYHNGECE-UBWAPJCPSA-N,ok
CMP_G001201,S3_P450Rdb,1429,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O)C,7Alpha-Hydroxycholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,OYXZMSRRJOYLLO-RVOWOUOISA-N,ok
CMP_G001202,S3_P450Rdb,256,O=C(O)C(N)CC=1C=2C(C#C)=CC=CC2NC1C,4-Ethynyl-2-methyltryptophan,C#Cc1cccc2[nH]c(C)c(CC(N)C(=O)O)c12,OZYWKZZSVNSVCH-UHFFFAOYSA-N,ok
CMP_G001203,S3_P450Rdb,536,C=CCCCCCC(=O)O,7-Octenoic acid,C=CCCCCCC(=O)O,OZYYQTRHHXLTKX-UHFFFAOYSA-N,ok
CMP_G001204,S3_P450Rdb,376,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O,"(2R,3R)-Dihydrokaempferol",O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,PADQINQHPQKXNL-LSDHHAIUSA-N,ok
CMP_G001204,S8_PlantP450DB,80,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O,dihydrokaempferol,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,PADQINQHPQKXNL-LSDHHAIUSA-N,ok
CMP_G001204,S9_PCPD,498,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O,"(2R,3R)-Dihydrokaempferol",O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,PADQINQHPQKXNL-LSDHHAIUSA-N,ok
CMP_G001205,S2_ESIBank,34,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O,PADQINQHPQKXNL-UHFFFAOYSA-N,ok
CMP_G001206,S9_PCPD,207,C[C@H]/1C/C=C/[C@H]2C=C([C@H]([C@@H]3C2(C(=O)/C=C/CC/C(=C1)/C)C(=O)N[C@H]3CC4=CNC5=CC=CC=C54)C)C,prochaetoglobosin I,CC1=C[C@@H]2/C=C/C[C@H](C)/C=C(/C)CC/C=C/C(=O)C23C(=O)N[C@@H](Cc2c[nH]c4ccccc24)[C@@H]3[C@@H]1C,PAFRQNXHHHYHMF-BMDIVSFWSA-N,ok
CMP_G001207,S9_PCPD,74,C[C@H]1C[C@@H]([C@H]2[C@H]1C[C@@]\3(CC[C@H](/C3=C/C[C@@]2(C)O)C(C)C)C)O,"cyclooctat-9-ene-5,7-diol",CC(C)[C@@H]1CC[C@@]2(C)C[C@@H]3[C@H]([C@@H](O)C[C@@H]3C)[C@](C)(O)C/C=C/12,PAGWWOOUBKDVRF-KLAOOFIFSA-N,ok
CMP_G001208,S2_ESIBank,113,CC(C)[C@H]1CC[C@]2(C)C[C@H]3[C@@H]([C@H](O)C[C@H]3C)[C@@](C)(O)C/C=C/12,,CC(C)[C@H]1CC[C@]2(C)C[C@H]3[C@@H]([C@H](O)C[C@H]3C)[C@@](C)(O)C/C=C/12,PAGWWOOUBKDVRF-NNLKJMRESA-N,ok
CMP_G001209,S3_P450Rdb,497,CC1CC(C2C1CC3(CCC(C3=CCC2(C)O)C(C)C)C)O,"Cyclooctat-9-Ene-5,7-Diol",CC(C)C1CCC2(C)CC3C(C)CC(O)C3C(C)(O)CC=C12,PAGWWOOUBKDVRF-UHFFFAOYSA-N,ok
CMP_G001210,S3_P450Rdb,1216,C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C(=O)O)O,Gypsogenic Acid,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@@H]2C1,PAIBKVQNJKUVCE-JUENUIDLSA-N,ok
CMP_G001211,S3_P450Rdb,541,C=CCCCCCCCCCCC(=O)O,12-Tridecenoic acid,C=CCCCCCCCCCCC(=O)O,PARCICAYFORNPH-UHFFFAOYSA-N,ok
CMP_G001212,S3_P450Rdb,729,C1=CC=C(C=C1)N,Aniline,Nc1ccccc1,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,ok
CMP_G001212,S9_PCPD,288,C1=CC=C(C=C1)N,aniline,Nc1ccccc1,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,ok
