Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
Eburicol,9803310,,,C31H52O,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C
32-Hydroxyeburicol,168007609,,,C31H52O2,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)CO
32-Oxoeburicol,168007565,,,C31H50O2,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C=O
Prostaglandin H2,445049,,,C20H32O5,CCCCC[C@@H](/C=C/[C@H]1[C@H]2C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)OO2)O
"3,5,4-Trimethoxy-Trans-Stilbene",5878893,,,C17H18O3,COC1=CC(=CC(=C1OC)OC)/C=C/C2=CC=CC=C2
Protopine,4970,,,C20H19NO5,CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C5=C(C=C4)OCO5)OCO3
(-)-Vincadifformine,579873,,,C21H26N2O2,CCC12CCCN3C1C4(CC3)C5=CC=CC=C5NC4=C(C2)C(=O)OC
Lochnericine,11382599,,,C21H24N2O3,CC[C@]12CC(=C3[C@@]4([C@H]1N(CC4)C[C@H]5[C@@H]2O5)C6=CC=CC=C6N3)C(=O)OC
Indole,798,,,C8H7N,C1=CC=C2C(=C1)C=CN2
Flavone,10680,,,C15H10O2,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2
Benzophenone,3102,,,C13H10O,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
"8Beta-Hydroxygermacra-1(10),4,11(13)-Trien-12-Oate",90657346,,,C15H21O3-,C/C/1=C\C[C@@H]([C@@H](C/C(=C/CC1)/C)O)C(=C)C(=O)[O-]
C14,59413672,,,C14H30,[C]#CC#CC#CC#CC#CC#CC#[C]
11-Oxo-Beta-Amyrin,20055661,,,C30H48O2,C[C@@]12CC[C@@]3(C(=CC(=O)[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]1CC(CC2)(C)C)C
30-Hydroxy-11-Oxo-Beta-Amyrin,12310283,,,C30H48O3,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)CO
Glycyrrhetaldehyde,70698333,,,C30H46O3,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C=O
Dammarenediol-Ii,10895555,,,C30H52O2,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1CC[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O)C
(20S)-20-O-(Beta-D-Glucosyl)-3-Hydroxydammarene,132574557,,,C36H62O7,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1CC[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C
5Alpha-cholest-7-en-3-one,15081535,,,C27H44O,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CCC(=O)C4)C)C
P-Coumaroyl Quinic Acid,6441280,,,C16H18O8,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC=C(C=C2)O)O)O
P-Coumaroyl Shikimic Acid,71447328,,,C16H16O7,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)OC(=O)/C=C/C2=CC=C(C=C2)O)O)O
Soyasapogenol B,115012,,,C30H50O3,C[C@]12CC[C@@H]([C@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(C[C@H]5O)(C)C)C)C)C)(C)CO)O
(19E)-Geissoschizine,10948159,,,C21H24N2O3,C/C=C\1/CN2CCC3=C([C@@H]2C[C@@H]1/C(=C/O)/C(=O)OC)NC4=CC=CC=C34
16-Methoxytabersonine,443356,,,C22H26N2O3,CC[C@]12CC(=C3[C@@]4([C@H]1N(CC4)CC=C2)C5=C(N3)C=C(C=C5)OC)C(=O)OC
2-Hydroxydodecanoate,21981466,,,C12H23O3-,CCCCCCCCCCC(C(=O)[O-])O
(S)-1-Hydroxy-N-Methylcanadine,129011756,,,C21H24NO5+,C[N+]12CCC3=CC4=C(C(=C3[C@@H]1CC5=C(C2)C(=C(C=C5)OC)OC)O)OCO4
(S)-cis-N-methylcanadine,5460122,,,C21H24NO4+,C[N@@+]12CCC3=CC4=C(C=C3[C@@H]1CC5=C(C2)C(=C(C=C5)OC)OC)OCO4
"(13S,14R)-13-O-Acetyl-1-Hydroxy-N-Methylcanadine",86278052,,,C23H26NO7+,CC(=O)O[C@@H]1[C@H]2C3=C(C4=C(C=C3CC[N+]2(CC5=C1C=CC(=C5OC)OC)C)OCO4)O
Protopanaxadiol,9920281,,,C30H52O3,CC(=CCC[C@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)O)C)O)C
(20S)-Protopanaxadiol,11213350,,,C30H52O3,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)O)C)O)C
Lycosantalene,154586123,,,C20H32,CC(=CCC/C(=C\CCC1(C2CC3C1(C3C2)C)C)/C)C
Epoxy-Lycosantalene,154586203,,,C20H32O,CC(=CCCC1(C(O1)CCC2(C3CC4C2(C4C3)C)C)C)C
11-Hydroxycucurbitadienol,131801253,,,C30H50O2,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(C[C@H]([C@@]3([C@H]2CC=C4[C@H]3CC[C@@H](C4(C)C)O)C)O)C)C
23-Hydroxyursolic Acid,14136881,,,C30H48O4,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H]([C@@]5(C)CO)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O
(-)-Matairesinol,119205,,,C20H22O6,COC1=C(C=CC(=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O)OC)O
(S)-cis-N-methylstylopine,5460426,,,C20H20NO4+,C[N@@+]12CCC3=CC4=C(C=C3[C@@H]1CC5=C(C2)C6=C(C=C5)OCO6)OCO4
(S)-cis-N-methyltetrahydrothalifendine,168007643,,,C20H22NO4+,C[N@@+]12CCC3=CC4=C(C=C3[C@@H]1CC5=C(C2)C(=C(C=C5)O)OC)OCO4
(S)-cis-N-methyltetrahydropalmatine,1275593,,,C22H28NO4+,C[N@@+]12CCC3=CC(=C(C=C3[C@@H]1CC4=C(C2)C(=C(C=C4)OC)OC)OC)OC
Genkwanin,5281617,,,C16H12O5,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O
(2S)-sakuranetin,73571,,,C16H14O5,COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC=C(C=C3)O)O
"Apigenin 7,4°‰-dimethyl ether",5281601,,,C17H14O5,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O
"4°‰,7-Di-O-methylnaringenin",14057196,,,C17H16O5,COC1=CC=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)OC)O
7Alpha-Hydroxycholest-4-En-3-One,123743,,,C27H44O2,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](CC4=CC(=O)CC[C@]34C)O)C
Chenodeoxycholate,10133,,,C24H40O4,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
"5Beta-Cholestane-3Alpha,7Alpha-Diol",3080603,,,C27H48O2,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
8-O-Methyldihydrosterigmatocystin,14608351,,,C19H16O6,COC1=CC=CC2=C1C(=O)C3=C(C=C4C(=C3O2)[C@@H]5CCO[C@@H]5O4)OC
8-O-Methylsterigmatocystin,104940,,,C19H14O6,COC1=CC=CC2=C1C(=O)C3=C(C=C4C(=C3O2)[C@@H]5C=CO[C@@H]5O4)OC
Secalciferol,5283748,,,C27H44O3,C[C@H](CC[C@H](C(C)(C)O)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
25-Hydroxyvitamin D2,5710148,,,C28H44O2,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
25-Hydroxy-24-Oxocalciol,5283689,,,C27H42O3,C[C@H](CCC(=O)C(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
Calcidiol,5283731,,,C27H44O2,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
Ent-Kaur-16-En-19-Oate,25200785,,,C20H29O2-,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@H](C3)C(=C)C4)(C)C(=O)[O-]
7-Methoxyresorufin,119220,,,C13H9NO3,COC1=CC2=C(C=C1)N=C3C=CC(=O)C=C3O2
7-Ethoxyresorufin,3294,,,C14H11NO3,CCOC1=CC2=C(C=C1)N=C3C=CC(=O)C=C3O2
7-Ethoxycoumarin,35703,,,C11H10O3,CCOC1=CC2=C(C=C1)C=CC(=O)O2
7-Methoxycoumarin,10748,,,C10H8O3,COC1=CC2=C(C=C1)C=CC(=O)O2
Tetradecanoate,4075158,,,C14H27O2-,CCCCCCCCCCCCCC(=O)[O-]
Cyclo(L-Leucyl-L-Leucyl),192731,,,C12H22N2O2,CC(C)C[C@H]1C(=O)N[C@H](C(=O)N1)CC(C)C
All-Trans-Retinoate,6419707,,,C20H27O2-,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)[O-])/C)/C
All-Trans-(4S)-Hydroxyretinoate,126843444,,,C20H27O3-,CC1=C(C(CC[C@@H]1O)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)[O-])/C)/C
Brassinolide,115196,,,C28H48O6,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2COC(=O)[C@@H]4[C@@]3(C[C@H]([C@H](C4)O)O)C)C)[C@H]([C@@H]([C@@H](C)C(C)C)O)O
Castasterone,133534,,,C28H48O5,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC(=O)[C@@H]4[C@@]3(C[C@H]([C@H](C4)O)O)C)C)[C@H]([C@@H]([C@@H](C)C(C)C)O)O
(E)-4-Hydroxyphenylacetaldehyde Oxime,5460411,,,C8H9NO2,C1=CC(=CC=C1C/C=N/O)O
(Z)-(4-hydroxyphenyl)acetaldehyde oxime,5459810,,,C8H9NO2,C1=CC(=CC=C1C/C=N\O)O
4-hydroxyphenylacetonitrile,26548,,,C8H7NO,C1=CC(=CC=C1CC#N)O
(E)-(Indol-3-Yl)Acetaldehyde Oxime,5371769,,,C10H10N2O,C1=CC=C2C(=C1)C(=CN2)C/C=N/O
Xanthotoxin,4114,,,C12H8O4,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
Indole-3-Carbonyl Nitrile,11355722,,,C10H6N2O,C1=CC=C2C(=C1)C(=CN2)C(=O)C#N
R/S-Linalool,67179,,,C10H18O,CC(=CCC[C@@](C)(C=C)O)C
Beta-Sitosterol,222284,,,C29H50O,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
5-Dehydroepisterol,10894570,,,C28H44O,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C
24-Epi-Campesterol,5283637,,,C28H48O,C[C@H](CC[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
(S)-N-Methylcoclaurine,440584,,,C18H21NO3,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC=C(C=C3)O)O)OC
Campestanol,119394,,,C28H50O,C[C@H](CC[C@@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C
Campesterol,173183,,,C28H48O,C[C@H](CC[C@@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
6-Oxocampestanol,16061347,,,C28H48O2,C[C@H](CC[C@@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC(=O)[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C
Cholestanol,6665,,,C27H48O,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C
A C27-steroid,10202,,,C27H48,CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C
A C28-steroid,528828,,,C28H50,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C
A C29-steroid,313279,,,C29H52,CCC(CCC(C)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C)C(C)C
3Beta-Hydroxy-5Alpha-Androstan-17-One,441302,,,C19H30O2,C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O
"Androst-5-En-3Beta,17Beta-Diol",10634,,,C19H30O2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC=C4[C@@]3(CC[C@@H](C4)O)C
"5Alpha-Androstane-3Beta,17Beta-Diol",242332,,,C19H32O2,C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C)O
27-Hydroxycholesterol,123976,,,C27H46O2,C[C@H](CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)CO
25-Hydroxycholesterol,65094,,,C27H46O2,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
Farnesol,445070,,,C15H26O,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C
Liquiritigenin,114829,,,C15H12O4,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O
Narbomycin,5282036,,,C28H47NO7,CC[C@@H]1[C@@H](/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)C)C
10-Deoxymethymycin,5282032,,,C25H43NO6,CC[C@@H]1[C@@H](/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)C)C
"(20R,22R)-20,22-Dihydroxycholesterol",6453841,,,C27H46O3,CC(C)CC[C@H]([C@@](C)([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O)O
17Alpha-Hydroxyprogesterone,6238,,,C21H30O3,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
Estrone,5870,,53-16-7,C18H22O2,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O
"(12S)-Hydroperoxy-(5Z,8Z,10E,14Z)-Eicosatetraenoate",21158474,,,C20H31O4-,CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)[O-])OO
17Beta-Estradiol,5757,,,C18H24O2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
All-Trans-Retinal,638015,,,C20H28O,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C
"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoate",40486925,,,C22H31O2-,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)[O-]
"(5S)-Hydroperoxy-(6E,8Z,11Z,14Z)-Eicosatetraenoate",21158466,,,C20H31O4-,CCCCC/C=C\C/C=C\C/C=C\C=C\[C@H](CCCC(=O)[O-])OO
"(13S)-Hydroperoxy-(9Z,11E)-Octadecadienoate",21158461,,,C18H31O4-,CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)[O-])OO
"(15S)-Hydroperoxy-(5Z,8Z,11Z,13E)-Eicosatetraenoate",21158477,,,C20H31O4-,CCCCC[C@@H](/C=C/C=C\C/C=C\C/C=C\CCCC(=O)[O-])OO
"(5Z,8Z,11Z)-Eicosatrienoate",5312531,,,C20H34O2,CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O
Arachidonic Acid,444899,,,C20H32O2,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
17Alpha-Hydroxypregnenolone,91451,,,C21H32O3,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O
"16Alpha,17Alpha-Dihydroxyprogesterone",11687,,,C21H30O4,CC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O)O
"16Alpha,17Alpha-Dihydroxypregnenolone",102041888,,,C21H32O4,CC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O)O
A C(21)-Steroid,12547,,,C21H36,CCC1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C
MeIQx,62275,,,C11H11N5,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N
PhIP,1530,,,C13H13ClN4,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N.Cl
4-Nitrophenol,980,,,C6H5NO3,C1=CC(=CC=C1[N+](=O)[O-])O
"8,9-Epoxy-(5Z,11Z,14Z)-Eicosatrienoate",86583479,,,C20H31O3-,CCCCC/C=C\C/C=C\CC1C(O1)C/C=C\CCCC(=O)[O-]
"1,4-Cineole",10106,,,C10H18O,CC(C)C12CCC(O1)(CC2)C
"1,8-Cineole",2758,,,C10H18O,CC1(C2CCC(O1)(CC2)C)C
17Beta-Hydroxy-5Alpha-Androstan-3-One,10635,,,C19H30O2,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C
Albendazole,2082,,,C12H15N3O2S,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
Cortisol,5754,,,C21H30O5,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
Cortisone,222786,,,C21H28O5,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C
Fenbendazole,3334,,,C15H13N3O2S,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3
"N-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-Ethanolamine",5281969,,,C22H37NO2,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO
Quinine,3034034,,,C20H24N2O2,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
Nataloe Emodin,12313148,,,C15H10O5,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC(=C3O)O
Ajmalicine,441975,,,C21H24N2O3+,C[C@H]1[C@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45
Tetrahydroalstonine,72340,,,C21H24N2O3,C[C@H]1[C@@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45
(+)-Vincadifformine,811594,,,C21H26N2O2,CC[C@]12CCCN3[C@H]1[C@]4(CC3)C5=CC=CC=C5NC4=C(C2)C(=O)OC
Tryptamine,1150,,,C10H12N2,C1=CC=C2C(=C1)C(=CN2)CCN
Anisole,7519,,100-66-3,C7H8O,COC1=CC=CC=C1
2-Methylanisole,33637,,,C8H10O,CC1=CC=CC=C1OC
Guaethol,66755,,94-71-3,C8H10O2,CCOC1=CC=CC=C1O
Guaiacol,460,,,C7H8O2,COC1=CC=CC=C1O
3-Methoxycatechol,13622,,,C7H8O3,COC1=CC=CC(=C1O)O
"17Beta,19-Dihydroxy-3-Oxo-5Alpha-Androstanone",257409,,,C19H30O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@@H]4[C@@]3(CCC(=O)C4)CO
"17Beta-Hydroxy-3,19-Dioxo-5Alpha-Androstanone",129011069,,,C19H28O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@@H]4[C@@]3(CCC(=O)C4)C=O
"19-Hydroxyandrost-4-Ene-3,17-Dione",252379,,,C19H26O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO
"19-Oxo-Androst-4-Ene-3,17-Dione",92854,,,C19H24O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34C=O
(4R)-Limonene,440917,,,C10H16,CC1=CC[C@@H](CC1)C(=C)C
(4S)-Limonene,439250,,,C10H16,CC1=CC[C@H](CC1)C(=C)C
Corticosterone,5753,,,C21H30O4,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O
11-Deoxycortisol,440707,,,C21H30O4,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C
21-Hydroxyprogesterone,6166,,,C21H30O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C
"(25R)-3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestan-26-Al",24771792,,,C27H46O4,C[C@H](CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C)C=O
"(25R)-5Beta-Cholestane-3Alpha,7Alpha,12Alpha,26-Tetrol",24771793,,,C27H48O4,C[C@H](CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C)CO
18-Hydroxycorticosterone,11222,,,C21H30O5,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)CO)O
18-Hydroxycortisol,44263343,,,C21H30O6,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)CO)O
(24R)-Hydroxycholesterol,10135759,,,C27H46O2,C[C@H](CC[C@H](C(C)C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
(24S)-Hydroxycholesterol,121948,,,C27H46O2,C[C@H](CC[C@@H](C(C)C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
4Beta-Hydroxycholesterol,3247060,,,C27H46O2,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H]([C@@H]4O)O)C)C
5Alpha-Cholest-7-En-3Beta-Ol,65728,,,C27H46O,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C
"Cholesta-5,7-Dien-3Beta-Ol",439423,,,C27H44O,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C
Nitrous Oxide,948,,,N2O,[N-]=[N+]=O
3Beta-Sulfooxy-Androst-5-En-17-One,20057076,,,C19H27O5S-,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)[O-])C
Prostaglandin A1,5281912,,,C20H32O4,CCCCC[C@@H](/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O)O
"20-Hydroxy-(5Z,8Z,11Z,14Z)-Eicosatetraenoate",5283157,,,C20H32O3,C(CC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O)CCO
"5-Hydroxy-(6E,8Z,11Z,14Z)-Eicosatetraenoate",70678647,,,C20H31O3-,CCCCC/C=C\C/C=C\C/C=C\C=C\C(CCCC(=O)[O-])O
6-Trans-Leukotriene B4,5283128,,,C20H32O4,CCCCC/C=C\C[C@H](/C=C/C=C/C=C/[C@H](CCCC(=O)O)O)O
"8-Hydroxy-(5Z,9E,11Z,14Z)-Eicosatetraenoate",102571785,,,C20H31O3-,CCCCC/C=C\C/C=C\C=C\C(C/C=C\CCCC(=O)[O-])O
Leukotriene B4,5280492,,,C20H32O4,CCCCC/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(=O)O)O)O
Lipoxin A4,5280914,,,C20H32O5,CCCCC[C@@H](/C=C/C=C\C=C\C=C\[C@H]([C@H](CCCC(=O)O)O)O)O
(R)-N-Methylcoclaurine,440595,,,C18H21NO3,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)O)OC
An (E)-Omega-(Methylsulfanyl)-Alkanal Oxime,25010747,,,C5H11NOS,CSCCCC=NO
Erythromycin D,24755489,,,C36H65NO12,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C
