Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
Verruculide A,122184713,,,C25H30O5,C[C@@H]1CC2=C(C(=CC3=C2C[C@@H]4[C@@](O3)(CC[C@@H]5[C@@]4(C=CC(=O)C5(C)C)C)C)O)C(=O)O1
Chrodrimanin T,154700460,,,C25H30O6,C[C@@H]1[C@@H](C2=C(C(=CC3=C2C[C@@H]4[C@@](O3)(CC[C@@H]5[C@@]4(C=CC(=O)C5(C)C)C)C)O)C(=O)O1)O
Geranylhydroquinone,5281857,,,C16H22O2,CC(=CCC/C(=C/CC1=C(C=CC(=C1)O)O)/C)C
Ilicicolin C,24094116,,,C23H31ClO4,C[C@@H]1CCC(=O)[C@@H]([C@@]1(C)CC/C(=C/CC2=C(C(=C(C(=C2O)Cl)C)C=O)O)/C)C
Ilicicolin A,6445117,,,C23H31ClO3,CC1=C(C(=C(C(=C1Cl)O)C/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O)C=O
Ilicicolin A Epoxide,145944453,,,C23H30ClO4-,CC1=C(C(=C(C(=C1Cl)[O-])C/C=C(\C)/CC/C=C(\C)/CC[C@H]2C(O2)(C)C)O)C=O
Kaempferol,5280863,,,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
(2S)-Naringenin,439246,,,C15H12O5,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
"(2R,3R)-Dihydrokaempferol",122850,,,C15H12O6,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O
7-Deoxyloganetic Acid,25203533,,,C10H14O4,C[C@H]1CC[C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O
Loganic Acid,89640,,,C16H24O10,C[C@H]1[C@H](C[C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
Loganin,87691,,,C17H26O10,C[C@H]1[C@H](C[C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
O-Methylandrocymbine,15286666,,,C22H27NO5,CN1CC[C@@]23C=C(C(=O)C=C2[C@@H]1CCC4=CC(=C(C(=C34)OC)OC)OC)OC
Pregnenolone,8955,,,C21H32O2,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
Dehydroepiandrosterone,5881,,,C19H28O2,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C
Cholest-4-En-3-One,91477,,,C27H44O,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
Dodecanoate,4149208,,,C12H23O2-,CCCCCCCCCCCC(=O)[O-]
"(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate",446284,,,C20H30O2,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
"(5Z,8Z,11Z,14Z)-Eicosatetraenoate",5460265,,,C20H31O2-,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]
Ent-Isokaurene,12311059,,,C20H32,CC1=C[C@@]23CC[C@H]4[C@]([C@@H]2CC[C@@H]1C3)(CCCC4(C)C)C
(-)-Vetispiradiene,14355861,,,C15H24,C[C@@H]1CCC=C([C@]12CC[C@H](C2)C(=C)C)C
(S)-Reticuline,439653,,,C19H23NO4,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC(=C(C=C3)OC)O)O)OC
All-Trans-Retinol,445354,,,C20H30O,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C
"(2E,6E)-Farnesyl Diphosphate",445713,,,C15H28O7P2,CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C
(R)-Reticuline,440586,,,C19H23NO4,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C=C3)OC)O)O)OC
(S)-Cheilanthifoline,440582,,,C19H19NO4,COC1=C(C=C2[C@@H]3CC4=C(CN3CCC2=C1)C5=C(C=C4)OCO5)O
(S)-Tetrahydrocolumbamine,440229,,,C20H23NO4,COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)OC
(S)-Scoulerine,439654,,,C19H21NO4,COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)O
Octane,356,,,C8H18,CCCCCCCC
Heptane,8900,,,C7H16,CCCCCCC
Hexane,8058,,,C6H14,CCCCCC
Pentane,8003,,,C5H12,CCCCC
Decane,15600,,,C10H22,CCCCCCCCCC
Nonane,8141,,,C9H20,CCCCCCCCC
(9Z)-Octadecenoyl-Coa,5497111,,,C39H68N7O17P3S,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
"(9Z,12Z)-Octadecadienoyl-Coa",5497112,,,C39H66N7O17P3S,CCCCC/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(S)-Beta-Macrocarpene,49859620,,,C15H24,CC1=CC[C@H](CC1)C2=CCCC(C2)(C)C
5-Methyl-1-Naphthoate,86289484,,,C12H9O2-,CC1=C2C=CC=C(C2=CC=C1)C(=O)[O-]
30-Hydroxy-Beta-Amyrin,12801541,,,C30H50O2,C[C@]12CC[C@](C[C@H]1C3=CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)CO
11Alpha-Hydroxy-Beta-Amyrin,13918522,,,C30H50O2,C[C@@]12CC[C@@]3(C(=C[C@H]([C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)O)[C@@H]1CC(CC2)(C)C)C
"Olean-12-Ene-3,24-Diol",71307357,,,C30H50O2,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CCC5[C@@]4(CCC(C5(C)CO)O)C)C)[C@H]1CC(CC2)(C)C)C
