substrate_idx,cid,in_any_split,pubchem_conformer_count_3d,pubchem_isomeric_smiles,pubchem_inchikey,pubchem_heavy_atoms,pubchem_rotatable_bonds,inchikey_match
507,69330,1,1,,GPOFSFLJOIAMSA-UHFFFAOYSA-N,9,1,1
508,6946312,1,1,,GPSDUZXPYCFOSQ-UHFFFAOYSA-M,10,0,1
509,7418,1,2,,GPSDUZXPYCFOSQ-UHFFFAOYSA-N,10,1,1
510,4970,1,10,,GPTFURBXHJWNHR-UHFFFAOYSA-N,26,0,1
511,7052,1,4,,GPVDHNVGGIAOQT-UHFFFAOYSA-N,13,3,1
512,948,1,1,,GQPLMRYTRLFLPF-UHFFFAOYSA-N,3,0,1
513,443474,1,6,,GQRUHVMVWNKUFW-LWYYNNOASA-N,21,2,1
514,72340,1,6,,GRTOGORTSDXSFK-DLLGKBFGSA-N,26,2,1
515,251561,1,10,,GRTOGORTSDXSFK-UHFFFAOYSA-N,26,2,1
516,441975,1,4,,GRTOGORTSDXSFK-XJTZBENFSA-N,26,2,1
517,440968,1,1,,GRWFGVWFFZKLTI-IUCAKERBSA-N,10,0,1
518,82227,1,1,,GRWFGVWFFZKLTI-RKDXNWHRSA-N,10,0,1
519,6654,1,2,,GRWFGVWFFZKLTI-UHFFFAOYSA-N,10,0,1
520,,1,,,,,,
521,,1,,,,,,
522,13331671,1,10,,GSMRDGFHKLJGHY-UHFFFAOYSA-N,14,5,1
523,5281567,1,10,,GTEXBOVBADJOQH-FWEMWIAWSA-N,20,3,1
524,86289813,1,10,,GTTVJFCVXYCPHB-JTQLQIEISA-M,17,1,1
525,17756752,1,10,,GTTVJFCVXYCPHB-UHFFFAOYSA-N,17,2,1
526,122499658,1,10,,GUXIGAZNZXAAIN-UHFFFAOYSA-N,18,4,1
527,135754258,1,10,,GUYLXXKTXNVUKW-MMQHEFTJSA-N,16,4,1
528,,1,,,,,,
529,5280555,1,10,,GVECSFFLZYNEBO-PDXJTRCTSA-N,23,5,1
530,14985,1,10,,GVJHHUAWPYXKBD-IEOSBIPESA-N,31,12,1
531,160254,1,1,,GVKKJJOMQCNPGB-JTQLQIEISA-N,22,0,1
532,11624161,1,10,,GVRNTWSGBWPJGS-YSDSKTICSA-N,24,4,1
533,5408233,1,3,,GVTRUVGBZQJVTF-YJYMSZOUSA-N,24,2,1
534,445995,1,10,,GVVPGTZRZFNKDS-JXMROGBWSA-N,19,8,1
535,,1,,,,,,
536,,1,,,,,,
537,2247,1,10,,GXDALQBWZGODGZ-UHFFFAOYSA-N,34,8,1
538,169409267,1,10,,GXFBXYRIFPTSTH-CDAWCUIISA-N,37,1,1
539,10379033,1,10,,GXNCANRRVMZEOB-QMQPWKDKSA-N,20,3,1
540,9824580,1,10,,GXPHKUHSUJUWKP-NTKDMRAZSA-N,31,5,1
541,221641,1,10,,GXXFZZLGPFNITM-UHFFFAOYSA-N,13,5,1
542,57494721,1,0,,GYSOJFKWYUVNCE-SFHVURJKSA-N,25,18,1
543,14166134,1,3,,GYSZYWSJZCKCBD-LXGUAGHKSA-N,31,1,1
544,25010767,1,10,,GYYOKOIBHIWNHE-UHFFFAOYSA-N,14,9,1
545,102288,1,10,,GZCGUPFRVQAUEE-BGPJRJDNSA-N,12,5,1
546,92094,1,10,,GZIFEOYASATJEH-VHFRWLAGSA-N,29,12,1
547,13878324,1,10,,GZUNPCNPOLOTLX-INIZCTEOSA-N,27,6,1
548,6323,1,1,,GZUXJHMPEANEGY-UHFFFAOYSA-N,2,0,1
549,125207,1,10,,GZZPOFFXKUVNSW-UHFFFAOYSA-N,14,10,1
550,11425923,1,1,,HARGZZNYNSYSGJ-JTQLQIEISA-N,21,0,1
551,5273569,1,2,,HAVWRBANWNTOJX-UHFFFAOYSA-N,15,1,1
552,688586,1,1,,HAZHUELNIGDYQH-UHFFFAOYSA-N,17,1,1
553,,1,,,,,,
