cyp_id,kingdom,reason,num_pairs_lost
CYP81A37,Viridiplantae,no_smiles,1
CYP81A38,Viridiplantae,no_smiles,1
CYP81E1,Viridiplantae,no_substrate,0
CYP81E100,Viridiplantae,class_only,0
CYP81E6,Viridiplantae,class_only,0
CYP81E7,Viridiplantae,class_only,0
CYP81E9,Viridiplantae,class_only,0
CYP81F1,Viridiplantae,no_smiles,1
CYP81F2,Viridiplantae,no_smiles,1
CYP81F3,Viridiplantae,no_smiles,1
CYP81F4,Viridiplantae,no_smiles,1
CYP81Q19,Viridiplantae,no_substrate,0
CYP81Q500,Viridiplantae,no_substrate,0
CYP82AR2,Viridiplantae,no_substrate,0
CYP82D26,Viridiplantae,no_substrate,0
CYP82D263,Viridiplantae,none,0
CYP82D274,Viridiplantae,none,0
CYP82D47,Viridiplantae,no_smiles,1
CYP82G1,Viridiplantae,no_smiles,1
CYP82N4,Viridiplantae,no_smiles,1
CYP82P3,Viridiplantae,class_only,0
CYP82Q3,Viridiplantae,no_smiles,1
CYP82X2,Viridiplantae,no_smiles,1
CYP83B1,Viridiplantae,class_only,0
CYP85A1,Viridiplantae,class_only,0
CYP85A2,Viridiplantae,class_only,0
CYP85A69,Viridiplantae,no_smiles,1
CYP86A1,Viridiplantae,class_only,0
CYP86A22,Viridiplantae,class_only,0
CYP86A4,Viridiplantae,class_only,0
CYP86A7,Viridiplantae,class_only,0
CYP86B1,Viridiplantae,class_only,0
CYP86B1v2,Viridiplantae,class_only,0
CYP86C3,Viridiplantae,class_only,0
CYP87D18,Viridiplantae,no_smiles,1
CYP87D20,Viridiplantae,no_smiles,1
CYP88L2,Viridiplantae,no_smiles,1
CYP88L7,Viridiplantae,no_smiles,2
CYP88L8,Viridiplantae,no_smiles,1
CYP90A1,Viridiplantae,class_only,0
CYP90A1Bd,Viridiplantae,class_only,0
CYP92A300,Viridiplantae,no_smiles,1
CYP92A6,Viridiplantae,no_smiles,1
CYP92C5,Viridiplantae,no_smiles,1
CYP92C6,Viridiplantae,no_smiles,1
CYP93B16,Viridiplantae,class_only,0
CYP93B500,Viridiplantae,no_smiles,1
CYP93B501,Viridiplantae,no_smiles,1
CYP93C1,Viridiplantae,no_substrate,0
CYP93G1,Viridiplantae,no_smiles,1
CYP94A1,Viridiplantae,class_only,0
CYP94A2,Viridiplantae,class_only,0
CYP94A5,Viridiplantae,class_only,0
CYP94B3,Viridiplantae,no_smiles,1
CYP94C1,Viridiplantae,no_smiles,1
CYP96A15,Viridiplantae,no_smiles,1
CYP97A29,Viridiplantae,no_smiles,1
CYP97A3,Viridiplantae,no_smiles,1
CYP97B3,Viridiplantae,gene_only,0
CYP97C1,Viridiplantae,class_only,0
CYP97C11,Viridiplantae,class_only,0
CYP98A112,Viridiplantae,no_smiles,1
