Substrate_Index,Substrate_SMILES,status,reason,num_atoms
180,C[C@@](O)(C(=O)Nc1ccc(S(=O)(=O)c2cccc(Br)c2)cc1Cl)C(F)(F)F,ok,OK,27
181,N#Cc1ccc(OC2CCC(NS(=O)(=O)C(F)(F)F)CC2)cc1Cl,ok,OK,24
182,COc1cc(NS(=O)(=O)C(F)(F)F)cc(OC)c1Oc1ccc(C#N)c(Cl)c1,ok,OK,28
183,N#Cc1cc(S(=O)(=O)Nc2nccs2)ccc1Oc1ccc(Cl)cc1-c1cn[nH]c1,ok,OK,30
184,CCOC(=O)NC(=O)c1ccsc1NC(=O)c1nc2cnccc2s1,ok,OK,25
185,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,ok,OK,30
186,CCCCCCCCCCCCCCCC(=O)NCC(=O)O,ok,OK,22
187,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCSC)C(=O)O,ok,OK,26
188,CC(C)C[C@H](NC(=O)CCCCCCCCCCCn1ccnc1)C(=O)O,ok,OK,27
189,NCCc1ccc(O)c(O)c1,ok,OK,11
190,NCCc1c[nH]c2ccc(O)cc12,ok,OK,13
191,C=Cc1ccccc1,ok,OK,8
192,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,ok,OK,23
193,CC(C)Cc1ccc([C@H](C)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc1,ok,OK,26
194,CC(C)N,ok,OK,4
195,CCCN,ok,OK,4
196,[NH3+]C1CCCCC1,ok,OK,7
197,CN[C@@H]1CCc2ccccc21,ok,OK,11
198,N[C@H]1CCCc2ccccc21,ok,OK,11
199,C[C@@H](N)c1ccccc1,ok,OK,9
200,N[C@@H]1CCCc2ccccc21,ok,OK,11
201,N[C@H]1CCc2ccccc21,ok,OK,10
202,CCN,ok,OK,3
203,CN,ok,OK,2
204,C[C@H](N)c1ccccc1,ok,OK,9
205,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCO)C(=O)O,ok,OK,25
206,CCCCCCCCCCCC(=O)N[C@H]1CCOC1=O,ok,OK,20
207,CCCCCCCCCCCCCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,ok,OK,29
208,O=C(O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCCN1C(=O)CCC1CCCCC1,ok,OK,30
209,Cc1ccc(O)cc1,ok,OK,8
210,O=[N+]([O-])c1ccc2oncc2c1,ok,OK,12
211,N#Cc1cc([N+](=O)[O-])ccc1O,ok,OK,12
212,NO,ok,OK,2
213,O=C(CCCCn1ccnc1)N[C@@H](Cc1ccccc1)C(=O)O,ok,OK,23
214,CCc1ccccc1,ok,OK,8
215,CCCc1ccccc1,ok,OK,9
216,O=C(CCCCCn1ccnc1)N[C@@H](Cc1ccccc1)C(=O)O,ok,OK,24
217,c1ccc2c(c1)CCC2,ok,OK,9
218,O=C(O)CCCNc1ccncc1,ok,OK,13
219,O=C(O)C1CCN(c2ccncc2)CC1,ok,OK,15
220,CCCCCCCCCC(=O)N[C@H]1CCOC1=O,ok,OK,18
221,CCCCc1ccc(N/C=N\O)c(C)c1,ok,OK,15
222,N#Cc1ccc([C@@H]2CCCc3cncn32)cc1,ok,OK,17
223,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,ok,OK,30
224,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,ok,OK,31
225,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,ok,OK,20
226,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,ok,OK,29
227,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,ok,OK,31
228,CC(=O)N1CCN(c2ccc(OC[C@H]3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,ok,OK,36
229,N#C/C(=C1/SC[C@@H](c2ccccc2Cl)S1)n1ccnc1,ok,OK,20
230,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,ok,OK,25
231,c1ccc(Cc2ccncc2)cc1,ok,OK,13
232,O=[N+]([O-])c1ccc(Cc2ccncc2)cc1,ok,OK,16
233,CC1=CC[C@H]2[C@@H](C1)C2(C)C,ok,OK,10
234,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](Br)C2,ok,OK,11
235,CC1(C)[C@@H]2CC=C(CBr)[C@H]1C2,ok,OK,11
236,C[C@@H]1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,ok,OK,21
237,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ok,OK,50
