ccd_code,smiles,source,validation_status,error_message
EIA,CC[C@H]1[C@@H]2C=C[C@@H]3[C@H]4C/C=C\C(=O)NCCC[C@@H]5NC(=O)/C(=C(O)/C=C/[C@@H]4C[C@@H]3[C@H]2C[C@H]1C)C5=O,API,VALID,
EIQ,O=S(=O)(Nc1ccc(Cc2ccncc2)cc1)c1ccccc1,API,VALID,
EIU,CC[C@@H]1C[C@@H]2C[C@@H]3C/C=C/CC(=O)NCCC[C@@H]4NC(=O)/C(=C(O)/C=C/C=C/[C@H](O)[C@H]3[C@@H]2[C@H]1C)C4=O,API,VALID,
EJD,O=C(O)c1ccc(-c2ccsc2)cc1,API,VALID,
EJV,CCCCCCCc1ccc(C(=O)O)cc1,API,VALID,
EKO,Clc1ccc(CO[C@H](Cc2c[nH]cn2)c2ccc(Cl)cc2Cl)cc1,API,VALID,
ELA,CCCCCCCC/C=C/CCCCCCCC(=O)O,API,VALID,
EMZ,COC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,API,VALID,
ENK,NCc1nc(-c2ccccc2)no1,API,VALID,
EPA,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,API,VALID,
EPB,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,API,VALID,
EPD,C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1,API,VALID,
EPM,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCSC)C(=O)O,API,VALID,
ERB,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,API,VALID,
ESL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,API,VALID,
ETG,CN(C)c1cccc2c(S(=O)(=O)NCCOCCOCCNC(=O)C34CC5CC(CC(C5)C3)C4)cccc12,API,VALID,
EV1,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,API,VALID,
EW2,Clc1[nH]c2ccccc2c1-c1nn(-c2ccccc2)cc1Cn1ccnc1,API,VALID,
EW5,O=C(NCc1ccncc1)c1cn(-c2ccccc2)nc1-c1ccncc1,API,VALID,
EWM,CCCCCCCCCCCC(=O)N[C@H]1CCOC1=O,API,VALID,
