compound_id,smiles,name
136,CC(C)=CCC/C(C)=C\CNCCNC1C2CC3CC(C2)CC1C3,
137,O=C1N[C@@H](Cc2ccc(O)cc2)CN[C@H]1Cc1ccc(O)cc1,
138,Cc1cc(C[C@@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC2=O)ccc1O,
139,Cc1cc(O)ccc1C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,
140,Cc1cc(O)cc(C)c1C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,
141,Cc1cc(C[C@@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC2=O)cc(C)c1O,
142,O=C1N[C@@H](Cc2ccc(O)c(F)c2)C(=O)N[C@H]1Cc1ccc(O)cc1,
143,O=C1N[C@@H](Cc2ccc(O)c(I)c2)C(=O)N[C@H]1Cc1ccc(O)cc1,
144,O=C1N[C@@H](Cc2ccc(O)c(Br)c2)C(=O)N[C@H]1Cc1ccc(O)cc1,
145,O=C1N[C@@H](Cc2ccc(O)c(Cl)c2)C(=O)N[C@H]1Cc1ccc(O)cc1,
146,C#Cc1cc(C[C@@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC2=O)ccc1O,
147,COc1ccc(C[C@@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC2=O)cc1,
148,O=C1N[C@@H](Cc2ccc(OCO)cc2)C(=O)N[C@H]1Cc1ccc(O)cc1,
149,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,
150,COc1ccc(C(=O)O)cc1,
151,CCc1ccc(C(=O)O)cc1,
152,COc1ccc(C(=O)O)cc1OC,
153,c1ccc2[nH]ccc2c1,
154,CN(CCCC(=O)c1cccnc1)N=O,
155,CC(=O)/C=C/C1=C(C)CCCC1(C)C,
156,O=C(O)c1ccc2cc[nH]c2c1,
157,O=C(O)c1ccc2ccccc2c1,
158,CC(C)c1ccc(C(=O)O)cc1,
159,CCOc1ccc(C(=O)O)cc1,
160,CNc1ccc(C(=O)O)cc1,
161,O=C(O)c1ccc(C2CC2)cc1,
162,CCCCCCCc1ccc(C(=O)O)cc1,
163,O=C(O)c1ccc(-c2ccsc2)cc1,
164,COc1cccc(C(=O)O)c1,
165,CSc1cccc(C(=O)O)c1,
166,Cc1ccc(C(=O)O)cc1,
167,Cc1cccc(C(=O)O)c1,
168,CNc1cccc(C(=O)O)c1,
169,CCOc1cccc(C(=O)O)c1,
170,COc1ccc(/C=C/C(=O)O)cc1,
171,CC(C)Cc1ccc(C(=O)O)cc1,
172,C=Cc1ccc(C(=O)O)cc1,
173,O=C(O)c1ccc(-c2ccccc2)cc1,
174,COc1cccc(-c2ccc(C(=O)O)cc2)c1,
175,CCCc1ccc(C(=O)O)cc1,
176,O=C(O)c1ccc(Oc2ccccc2)cc1,
177,O=C(O)c1ccc(C2CCCCC2)cc1,
178,CCSc1ccc(C(=O)O)cc1,
179,CSc1ccc(C(=O)O)cc1,
180,O=C(O)c1ccc(-c2ccco2)cc1,
181,O=C(O)c1ccc(-c2cccs2)cc1,
182,O=C(O)c1ccc(I)cc1,
183,O=C(O)c1ccc(F)cc1,
184,O=C(O)c1ccc(Cl)cc1,
185,O=C(O)c1ccc(CCl)cc1,
186,O=C(O)c1ccc(CCBr)cc1,
187,O=C(O)c1ccc(CCCl)cc1,
188,CCCCc1ccc(C(=O)O)cc1,
189,O=C(O)c1ccc(Cc2ccccc2)cc1,
190,CCC(=O)c1ccc(C(=O)O)cc1,
191,CC(=O)Cc1ccc(C(=O)O)cc1,
192,O=C(O)c1ccc(OC(F)(F)F)cc1,
193,CC(C)(C)c1ccc(C(=O)O)cc1,
194,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C=C3CC3)C3=CC[C@@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C,
195,CCCCC[C@H](O)/C=C/C=C/CCCCCCCC(=O)O,
196,CC[C@H]1OC(=O)/C=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/C=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,
197,CC[C@H]1OC(=O)/C=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/C=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC,
198,C[C@@H]1[C@@H](O)[C@@H](C)C[C@H](C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@H](C)[C@H]1O,
199,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,
200,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,
201,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,
202,C[C@@]12CCC[C@H]1[C@@H]1CC[C@H]3CC(=O)CC[C@]3(C)[C@H]1CC2,
203,CC[C@H]1OC(=O)/C=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)[C@H](O)/C=C/C=C/[C@@H]1C,
204,Cc1ccc(OP(=O)(O)O)cc1,
205,CCc1ccc(OP(=O)(O)O)cc1,
206,CCc1cccc(OP(=O)(O)O)c1,
207,CN1C(=O)[C@H](Cc2c[nH]c3cccc([N+](=O)[O-])c23)N(C)C(=O)[C@@H]1Cc1ccccc1,
208,CN1C(=O)[C@](O)(Cc2ccccc2)N(C)C(=O)[C@@H]1Cc1c[nH]c2cccc([N+](=O)[O-])c12,
209,CCCCCC[C@H]1C(=O)O[C@H](C)C/C=C/C=C/C=C/C=C/C=C(\C)[C@@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@@H]1O,
210,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,
211,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C/C=C/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,
212,O=C1C(O)=CC(=O)c2c(O)cc(O)cc21,
213,O=C1C=C(O)C(=O)c2ccccc21,
214,C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1,
215,Oc1cc(O)c2c(O)cc(O)c(O)c2c1,
216,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C,
217,CC(C)=C[C@H](O)C/C(C)=C/CC/C(C)=C/Cc1c(C)[nH]c2ccccc2c1=O,
218,C[C@@H]1O[C@@H](n2c3ccccc3c3c4c(c5c6ccccc6[nH]c5c32)CNC4=O)C[C@@H](N)[C@H]1O,
219,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,
